"LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1" "LCMV1"
"Stk11ip" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cul3" 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 2 2 1 0 0
"Dock10" 0 0 0 3 1 0 0 0 0 0 1 2 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 2 0 0 0 0 0 1 0 0 3 0 1 3 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 2 0 1 1 1 0 0 1 0 0 1 0 0 0 2 0 1 0 0 2 0 0 1 0 0 0 0 0 2 1 0 3 0 0 2 0
"Mff" 0 0 2 2 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 1 1 0 0 2 1 0 0 2 0 0 0 1 0 0 0 0 1 5 0 0 1 0 2 0 1 0 1 0 0 0 1 0 0 1 0 0
"Sp100" 0 0 1 2 0 0 0 1 1 1 0 2 1 2 1 2 1 4 2 4 4 2 3 1 0 1 0 1 2 5 1 0 2 0 4 1 1 4 0 2 0 2 4 1 3 2 1 1 2 2 1 2 2 4 0 0 0 2 3 0 0 8 5 1 2 1 1 2 5 0 3 2 7 1 3 2 7 5 1 0 7 2 2 1 4 4 6 1 4 6 3 1 1 1 0 1 0
"Inpp5d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0
"Atg16l1" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Scly" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ndufa10" 0 0 0 0 3 0 0 0 2 0 0 0 2 0 1 0 1 0 0 0 2 1 0 0 2 1 0 1 0 1 1 0 4 0 0 1 0 1 0 2 0 0 0 3 2 1 0 1 0 1 0 0 0 0 2 0 1 1 1 0 2 2 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 3 0 2 0 0 0 1 0 2 1 2 2 2 0 1 0 2 1 0
"D2hgdh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
