"LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2"
"Rps11" 39 11 13 27 9 19 23 26 40 30 11 18 23 1 26 15 19 29 24 37 124 47 25 26 17 20 19 34 30 29 30 19 10 22 15 3 25 8 20 33 29 29 65 22 36 20 2 19 23
"Rps17" 9 7 1 9 3 4 5 1 15 15 2 3 16 7 9 7 9 20 3 9 88 32 6 3 5 17 3 5 22 10 9 6 4 11 4 3 2 2 8 6 8 8 29 13 19 0 0 12 8
"Rps3" 20 12 9 15 17 15 14 8 24 26 27 14 28 12 26 8 14 24 18 15 80 32 16 15 10 14 11 11 27 19 15 13 10 12 19 5 23 7 12 14 21 13 37 17 31 16 9 21 13
"Rps13" 24 9 10 18 10 21 27 8 33 21 20 7 29 13 17 10 19 17 15 14 86 29 18 26 10 17 18 13 27 32 21 17 10 15 10 8 16 9 21 8 25 8 48 14 19 11 9 12 22
"Rps15a" 34 13 14 23 12 14 31 11 40 17 18 23 32 8 37 18 26 28 16 31 118 52 22 32 11 22 31 20 46 28 23 20 13 18 17 12 10 14 25 27 14 10 55 18 25 14 10 30 20
"Rps12" 9 2 3 8 7 3 10 3 28 7 16 4 21 3 8 4 4 16 8 6 84 34 6 6 5 6 10 2 34 12 5 8 4 9 9 4 3 6 7 5 17 3 30 11 13 2 0 4 16
"Rps15" 16 7 6 10 4 11 13 4 21 4 12 10 15 7 20 12 12 20 16 18 105 32 9 12 9 10 9 6 30 12 15 11 8 9 10 9 10 7 14 14 24 17 41 14 14 12 5 9 3
"Rps26" 11 8 8 5 0 3 7 2 17 14 4 3 13 3 9 3 2 8 15 5 71 26 6 3 0 10 9 6 30 14 11 12 5 8 6 4 6 1 10 4 16 12 49 11 22 2 0 6 10
"Rps18-ps3" 3 6 6 6 1 2 6 4 6 4 7 4 5 2 13 4 10 7 1 13 22 11 2 5 5 7 8 10 8 7 5 8 5 2 4 1 6 2 6 5 8 3 15 8 8 3 2 6 5
"Rps26-ps1" 2 3 3 3 0 1 2 2 5 3 2 0 10 0 5 0 1 5 3 1 25 11 4 0 0 6 4 1 12 5 4 5 3 3 2 1 3 0 6 1 1 7 18 5 8 0 0 2 3
"Rps24" 20 9 11 34 10 17 17 9 40 15 26 15 23 13 25 14 20 21 16 17 89 41 17 24 13 15 31 17 31 22 16 15 10 14 17 11 15 11 15 15 12 12 47 18 28 10 7 12 19
"Rps2-ps6" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Rps25" 9 1 10 8 2 3 10 5 30 3 9 8 15 8 14 6 5 15 6 10 74 35 3 10 3 6 15 8 32 4 9 9 2 7 9 2 12 2 3 3 12 10 32 8 15 5 0 11 7
"Rps27l" 0 0 0 1 0 1 1 0 4 1 0 0 3 0 1 2 0 1 2 0 15 2 1 1 0 6 0 0 4 1 0 2 1 4 0 0 1 0 2 2 5 1 0 1 5 1 0 1 0
"Rps27rt" 12 10 15 10 16 8 19 9 9 9 21 14 12 14 24 6 25 11 4 11 15 23 5 11 15 8 21 12 13 22 11 6 12 5 16 9 12 12 12 13 6 6 20 17 9 6 13 9 15
"Rpsa" 8 4 9 9 6 18 17 7 43 19 7 15 36 3 12 8 9 21 30 20 93 29 14 15 6 17 19 15 41 31 22 19 14 10 6 5 10 3 20 13 27 13 33 8 29 10 2 29 14
"Rps27a" 16 5 10 17 11 13 13 11 29 18 19 8 33 9 19 9 10 35 8 31 128 47 8 14 3 14 17 26 30 13 14 16 11 10 19 6 11 7 17 9 22 12 52 12 28 9 4 14 14
"Rps6kb1" 1 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 3 1 0 0 1 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Rps23" 47 7 25 24 14 20 26 11 44 21 34 15 40 16 40 21 28 28 15 38 175 59 19 26 19 20 30 16 56 21 20 15 11 32 34 10 21 4 16 13 30 16 48 34 35 11 11 35 21
"Rps7" 22 10 10 14 7 21 27 8 23 22 20 7 22 12 29 18 23 22 13 17 95 50 12 16 9 21 20 13 37 22 22 13 10 16 15 9 14 11 16 18 30 11 36 15 25 8 3 14 20
"Rps29" 44 10 20 23 24 16 44 10 53 31 37 9 49 24 44 21 19 36 16 26 155 77 10 8 11 37 28 21 80 32 23 28 20 30 21 19 17 5 23 12 39 26 63 31 42 12 4 18 19
"Rps6ka5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19bp1" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Rps2" 14 2 10 12 6 16 15 2 34 13 14 3 32 6 20 8 6 13 28 14 164 46 6 13 6 20 15 13 71 14 24 8 4 24 8 9 6 6 12 3 24 11 43 14 28 8 3 28 11
